"";"Aurele Amenda";"Cheikh Niasse";"Darian Males";"David Von Ballmoos";"Donat Rrudhani";"Ebrima Colley";"Fabian Lustenberger";"Filip Ugrinic";"Jean-Pierre Nsame";"Joel Monteiro";"Lukasz Lakomy";"Meschack Elia";"Saidy Janko";"Sandro Lauper";"Silvere Ganvoula";"Ulisses Garcia"
"Aurele Amenda";0;4;0;12;0;0;10;3;1;0;0;1;10;1;0;1
"Cheikh Niasse";5;0;0;1;0;2;4;1;2;0;3;0;9;1;2;5
"Darian Males";0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"David Von Ballmoos";8;1;0;0;0;0;8;1;0;0;0;0;1;0;0;2
"Donat Rrudhani";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Ebrima Colley";0;1;0;0;0;0;2;1;0;0;2;1;0;0;0;3
"Fabian Lustenberger";3;2;0;11;0;0;0;0;1;0;1;1;0;3;0;14
"Filip Ugrinic";2;2;0;0;0;1;1;0;0;0;0;1;1;3;0;8
"Jean-Pierre Nsame";1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1
"Joel Monteiro";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Lukasz Lakomy";0;5;1;0;0;0;1;0;0;1;0;0;1;0;1;1
"Meschack Elia";0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1
"Saidy Janko";9;10;2;2;0;5;3;2;4;2;1;2;0;4;3;0
"Sandro Lauper";5;2;0;0;0;0;0;2;1;0;0;0;3;0;0;5
"Silvere Ganvoula";0;2;1;0;0;1;0;0;0;0;2;0;0;0;0;0
"Ulisses Garcia";3;4;0;3;1;1;10;13;0;0;1;2;2;4;3;0
