"";"Alexander Schlager";"Amankwah Forson";"Amar Dedic";"Andreas Ulmer";"Dorgeles Nene";"Karim Konate";"Lucas Gourna-Douath";"Luka Sucic";"Mads Bidstrup";"Maurits Kjaergaard";"Nicolas Capaldo";"Oscar Gloukh";"Oumar Solet";"Petar Ratkov";"Roko Simic";"Strahinja Pavlovic"
"Alexander Schlager";0;0;1;3;0;0;1;0;0;0;0;0;10;0;0;12
"Amankwah Forson";0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
"Amar Dedic";1;2;0;0;1;0;6;3;1;1;0;2;9;0;2;0
"Andreas Ulmer";1;1;0;0;1;1;6;6;1;4;4;5;0;1;2;7
"Dorgeles Nene";0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0
"Karim Konate";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Lucas Gourna-Douath";1;0;6;4;1;0;0;1;1;3;0;2;8;0;0;7
"Luka Sucic";0;0;4;6;0;0;1;0;1;1;0;3;4;1;4;1
"Mads Bidstrup";0;0;0;0;0;0;1;4;0;0;0;3;0;0;1;1
"Maurits Kjaergaard";1;0;0;1;0;0;4;4;0;0;0;3;1;0;1;3
"Nicolas Capaldo";0;1;2;2;0;0;0;1;0;0;0;0;1;0;0;1
"Oscar Gloukh";1;0;2;1;0;0;2;7;0;2;0;0;1;0;2;0
"Oumar Solet";4;1;9;2;1;1;4;8;1;3;2;1;0;0;1;10
"Petar Ratkov";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Roko Simic";0;0;1;0;0;0;3;3;0;2;0;3;1;0;0;0
"Strahinja Pavlovic";12;0;1;8;0;0;6;1;2;3;0;1;11;0;0;0
